Season,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2020-21,Zeke Nnaji,PF-C,5.90%,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00''
2020-21,Yoeli Childs,PF,8.20%,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50''
2020-21,Xavier Tillman Sr.,PF-C,8.50%,10.25,11,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00''
2020-21,Udoka Azubuike,C,9.61%,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25''
2020-21,Tyrell Terry,PG,7.60%,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170,6'1.75''
2020-21,Tyler Bey,PF,5.00%,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25''
2020-21,Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00''
2020-21,Trent Forrest,PG,5.65%,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50''
2020-21,Theo Maledon,PG,2.80%,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75''
2020-21,Skylar Mays,SG,7.40%,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00''
2020-21,Robert Woodard II,SF,4.50%,9,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00''
2020-21,Reggie Perry,PF-C,8.40%,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25''
2020-21,Precious Achiuwa,PF,6.70%,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75''
2020-21,Paul Reed Jr.,PF,6.83%,9,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00''
2020-21,Paul Eboua,SF-PF,3.80%,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50''
2020-21,Nick Richards,C,8.50%,9,9,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25''
2020-21,Nathan Knight,PF-C,8.20%,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00''
2020-21,Naji Marshall,SF,8.70%,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75''
2020-21,Myles Powell,PG-SG,15.80%,8,9,6'0.50'',6'1.50'',8'3.00'',194,6'7.00''
2020-21,Mason Jones,SG,8.90%,8.75,8.5,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00''
2020-21,Markus Howard,PG,9.91%,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25''
2020-21,Mamadi Diakite,PF,7.83%,9,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75''
2020-21,Lamar Stevens,SF-PF,6.80%,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228,6'9.00''
2020-21,Killian Tillie,PF,12.43%,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00''
2020-21,Kenyon Martin Jr.,SF-PF,5.90%,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25''
2020-21,Karim Mane,PG-SG,3.73%,8.5,9.75,6'5.00'',6'6.00'',8'6.00'',196,6'11.00''
2020-21,Kaleb Wesson,C,12.50%,9,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50''
2020-21,Kahlil Whitney,SF,5.30%,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205,7'0.25''
2020-21,Joshua Hall,SF,7.60%,8.75,9.5,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00''
2020-21,Josh Green,SG-SF,6.80%,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75''
2020-21,Jordan Nwora,SF-PF,11.68%,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223,6'10.25''
2020-21,Jayden Scrubb,SG-SF,3.70%,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50''
2020-21,Jalen Smith,PF-C,3.70%,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25''
2020-21,Jalen Harris,SG,4.40%,8.25,9.5,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00''
2020-21,Jahmi'us Ramsey,SG,3.40%,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00''
2020-21,Isaiah Stewart,C,7.50%,9,10.5,6'7.25'',6'8.50'',9'0.50'',243,7'4.75''
2020-21,Isaiah Joe,SG,4.70%,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50''
2020-21,Immanuel Quickley,SG,8.20%,8,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25''
2020-21,Grant Riller,PG-SG,5.40%,8,8.5,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25''
2020-21,Elijah Hughes,SF-SG,10.20%,8.5,8.75,6'4.75'',6'6.50'',8'5.50'',229,6'7.50''
2020-21,Devon Dotson,PG,4.60%,8.25,10,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00''
2020-21,Cassius Winston,PG,9.00%,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196,6'6.00''
2020-21,Cassius Stanley,SG,5.80%,8.25,9,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00''
2020-21,CJ Elleby,SG-SF,4.20%,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25''
2020-21,Ashton Hagans,PG,4.10%,9,9,6'1.50'',6'2.50'',8'3.50'',193,6'8.00''
2019-20,Admiral Schofield,SF,6.80%,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
2019-20,Bol Bol,C,7.10%,9.25,9.5,7' 0.75'',7' 2.5'',9' 7.5'',208,7' 7''
2019-20,Brandon Clarke,SF,4.90%,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25''
2019-20,Brian Bowen II,SF,6.50%,8.5,9.75,6' 6.25'',6' 7.5'',8' 7'',200,6' 10''
2019-20,Bruno Fernando,C,5.40%,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25''
2019-20,Cameron Johnson,SG,5.80%,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10''
2019-20,Cameron Reddish,SF,4.70%,9,9,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5''
2019-20,Carsen Edwards,PG,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
2019-20,Charles Bassey,C,8.50%,9.25,9.5,6' 8.75'',6' 10'',9' 1.5'',239,7' 3.5''
2019-20,Charles Matthews,SG,3.80%,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5''
2019-20,Chuma Okeke,,-%,-,-,,,,-,
2019-20,Coby White,PG,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
2019-20,Cody Martin,PG-SG,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
2019-20,DaQuan Jeffries,SF-PF,3.90%,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25''
2019-20,Daniel Gafford,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
2019-20,Darius Bazley,PF,3.60%,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
2019-20,Darius Garland,PG,-%,-,-,,,,-,
2019-20,De'Andre Hunter,,-%,-,-,,,,-,
2019-20,Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233,7' 2.25''
2019-20,Devon Dotson,PG,5.90%,8.25,9.5,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25''
2019-20,Dewan Hernandez,C,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
2019-20,Dylan Windler,SF,4.60%,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10''
2019-20,Eric Paschall,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
2019-20,Grant Williams,PF,5.40%,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
2019-20,Ignas Brazdeikis,SF,6.00%,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
2019-20,Isaiah Roby,PF,3.90%,9,10.5,6' 7.25'',6' 8.5'',8' 10'',214,7' 1''
2019-20,Ja Morant,PG,-%,-,-,,,,-,
2019-20,Jalen Hoard,PF,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75''
2019-20,Jalen Lecque,PG,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
2019-20,Jalen McDaniels,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
2019-20,Jared Harper,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
2019-20,Jarrett Culver,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
2019-20,Jaxson Hayes,PF,5.00%,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5''
2019-20,Jaylen Hands,PG,5.10%,8,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5''
2019-20,Jaylen Nowell,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
2019-20,Jontay Porter,PF,8.50%,8.75,9.5,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0''
2019-20,Jordan Bone,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
2019-20,Jordan Nwora,PF,7.80%,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5''
2019-20,Jordan Poole,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
2019-20,KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
2019-20,Keldon Johnson,SG,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
2019-20,Kevin Porter Jr.,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
2019-20,Killian Tillie,,-%,-,-,,,,-,
2019-20,Kris Wilkes,SF,4.90%,8.5,9.5,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75''
2019-20,Ky Bowman,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
2019-20,Kyle Guy,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
2019-20,Louis King,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
2019-20,Luguentz Dort,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
2019-20,Luka Samanic,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
2019-20,Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
2019-20,Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
2019-20,Miye Oni,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
2019-20,Moses Brown,C,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
2019-20,Nassir Little,SF,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
2019-20,Naz Reid,PF,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
2019-20,Neemias Queta,C,6.30%,9.5,11,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25''
2019-20,Nickeil Alexander-Walker,SG,5.90%,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5''
2019-20,Nicolas Claxton,C,4.50%,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
2019-20,O'Shae Brissett,SF-PF,2.90%,9,9.5,6' 7'',6' 8'',8' 8'',203.2,7' 0''
2019-20,P.J. Washington,PF,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
2019-20,Quentin Grimes,SG,8.40%,8.25,10,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75''
2019-20,Quinndary Weatherspoon,SG,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
2019-20,RJ Barrett,SF,-%,-,-,,,,-,
2019-20,Reggie Perry,SF-PF,6.70%,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5''
2019-20,Romeo Langford,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11''
2019-20,Shamorie Ponds,PG,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5''
2019-20,Simisola Shittu,PF,6.20%,8.75,8.5,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25''
2019-20,Tacko Fall,C,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
2019-20,Talen Horton-Tucker,SG,8.40%,9.5,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25''
2019-20,Terance Mann,SG-SF,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
2019-20,Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
2019-20,Tremont Waters,PG,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
2019-20,Ty Jerome,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
2019-20,Tyler Cook,PF,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
2019-20,Tyler Herro,SG,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
2019-20,Zach Norvell Jr.,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
2019-20,Zion Williamson,PF,-%,-,-,,,,-,
2018-19,Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
2018-19,Yante Maten,PF-C,8.10%,9.25,10,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
2018-19,Wendell Carter,C-PF,7.85%,8.5,9,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
2018-19,Udoka Azubuike,C,7.95%,9.5,10,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
2018-19,Tyus Battle,SG,4.00%,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
2018-19,Troy Brown,SF,7.05%,9,9.75,6' 5.75'',6' 6.75'',8' 9'',208,6' 10.25''
2018-19,Trevon Duval,PG,5.20%,8.75,10,6' 1.5'',6' 2.5'',8' 1.5'',191,6' 8.25''
2018-19,Trae Young,PG,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
2018-19,Tony Carr,PG,6.50%,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
2018-19,Theo Pinson,SG-SF,7.35%,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
2018-19,Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.5,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75''
2018-19,Shake Milton,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
2018-19,Shai Gilgeous-Alexander,PG,3.00%,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5''
2018-19,Sagaba Konate,C,7.35%,9.25,10,6' 6.5'',6' 7.5'',8' 10.5'',246,7' 0''
2018-19,Ray Spalding,PF,5.55%,9.25,9,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75''
2018-19,Rawle Alkins,SG,8.90%,8.5,10,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75''
2018-19,PJ Washington,PF,6.85%,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5''
2018-19,Omari Spellman,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
2018-19,Moritz Wagner,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
2018-19,Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
2018-19,Miles Bridges,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
2018-19,Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211,7' 0.25''
2018-19,Melvin Frazier,SF-SG,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
2018-19,Malik Newman,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
2018-19,Lonnie Walker,SG,5.65%,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
2018-19,Landry Shamet,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
2018-19,Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25''
2018-19,Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
2018-19,Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
2018-19,Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
2018-19,Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
2018-19,Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
2018-19,Kenrich Williams,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
2018-19,Keita Bates-Diop,SG-SF,5.35%,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
2018-19,Keenan Evans,PG,6.50%,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
2018-19,Justin Jackson,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
2018-19,Josh Okogie,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
2018-19,Jontay Porter,C-PF,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25''
2018-19,Jevon Carter,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
2018-19,Jerome Robinson,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
2018-19,Jaylen Hands,PG,5.00%,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5''
2018-19,Jaylen Barford,PG-SG,11.65%,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5''
2018-19,Jaren Jackson,PF-C,7.20%,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25''
2018-19,Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
2018-19,Jacob Evans,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
2018-19,Isaac Haas,C,12.55%,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5''
2018-19,Hamidou Diallo,SG,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5''
2018-19,Grayson Allen,SG,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25''
2018-19,George King,SF-SG,7.25%,9,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
2018-19,Gary Trent,SG,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
2018-19,Donte DiVincenzo,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
2018-19,Devonte Graham,PG,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
2018-19,Devon Hall,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
2018-19,DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
2018-19,Collin Sexton,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
2018-19,Cody Martin,SG-SF,5.45%,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
2018-19,Chimezie Metu,PF-C,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
2018-19,Carsen Edwards,PG,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
2018-19,Caleb Martin,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
2018-19,Bruno Fernando,C,5.25%,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
2018-19,Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
2018-19,Brian Bowen,SG-SF,7.60%,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25''
2018-19,Brandon McCoy,C,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
2018-19,Billy Preston,PF,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
2018-19,Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
2018-19,Anfernee Simons,SG-PG,7.70%,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
2018-19,Allonzo Trier,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75''
2018-19,Alize Johnson,PF,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
2018-19,Aaron Holiday,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5''
2017-18,Alec Peters,PF,8.80%,8.75,10,6' 7.25'',6' 8.75'',8' 9'',232,6' 10.75''
2017-18,Caleb Swanigan,PF,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
2017-18,Cameron Oliver,PF,7.70%,9.5,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25''
2017-18,Chris Boucher,PF,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
2017-18,D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
2017-18,Damyean Dotson,SG-SF,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
2017-18,Davon Reed,SG-SF,6.50%,9.25,9.5,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
2017-18,De?Aaron Fox,PG,4.50%,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
2017-18,Derrick Walton Jr.,PG,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
2017-18,Derrick White,PG,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
2017-18,Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
2017-18,Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
2017-18,Donovan Mitchell,SG,5.90%,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
2017-18,Dwayne Bacon,SG-SF,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
2017-18,Edmond Sumner,PG,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
2017-18,Edrice Adebayo,PF-C,5.20%,9.5,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75''
2017-18,Frank Jackson,PG,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
2017-18,Frank Mason III,PG,4.30%,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
2017-18,Hamidou Diallo,SG-SF,5.20%,8.5,9.5,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
2017-18,Harry Giles,PF,5.20%,9.5,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232,7' 3.25''
2017-18,Ike Anigbogu,C,5.40%,9.5,10,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25''
2017-18,Isaiah Briscoe,PG,11.00%,9,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
2017-18,Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
2017-18,Ivan Rabb,PF,6.80%,8.75,9,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5''
2017-18,Jamel Artis,SG-SF,11.90%,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10''
2017-18,Jaron Blossomgame,SF,5.70%,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10''
2017-18,Jarrett Allen,C,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
2017-18,Jawun Evans,PG,9.10%,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5''
2017-18,John Collins,PF,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
2017-18,Johnathan Motley,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
2017-18,Jordan Bell,PF,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
2017-18,Josh Hart,SG-SF,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
2017-18,Justin Jackson (UMD),SF,7.10%,9,9.5,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25''
2017-18,Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
2017-18,Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
2017-18,Kadeem Allen,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
2017-18,Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
