Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Dave Gunther ,Philadelphia Warriors,Iowa,1959,8,3,56
Leon Hill,Minneapolis Lakers,Texas Tech,1959,8,4,57
Walt Torrence,New York Knicks,California-Los Angeles,1959,8,5,58
Willie Merriweather,St. Louis Hawks,Purdue,1959,8,6,59
Joe Billy McDade,Cincinnati Royals,Bradley,1959,9,1,60
Doyle Edmiston,Detroit Pistons,Hardin-Simmons,1959,9,2,61
Carl Belz,Philadelphia Warriors,Princeton,1959,9,3,62
Jim Mudd,Minneapolis Lakers,North Texas,1959,9,4,63
Jerry Shipp,New York Knicks,Southeastern Oklahoma State,1959,9,5,64
Lou Pucillo,St. Louis Hawks,North Carolina State,1959,9,6,65
Joe Viviano,Cincinnati Royals,Xavier,1959,10,1,66
Bruno Boin,Detroit Pistons,Washington,1959,10,2,67
Tony Sellari,Philadelphia Warriors,Lenoir-Rhyne,1959,10,3,68
Roger Johnson,Minneapolis Lakers,Minnesota,1959,10,4,69
Paul Wilcox,New York Knicks,Davis & Elkins,1959,10,5,70
Ron Loneski,St. Louis Hawks,Kansas,1959,10,6,71
Charley Brown,Cincinnati Royals,Seattle,1959,11,1,72
M. C. Burton,Detroit Pistons,Michigan,1959,11,2,73
Phil Warren,Philadelphia Warriors,Northwestern,1959,11,3,74
Jack Evans,Minneapolis Lakers,Lake Superior State,1959,11,4,75
Paul Benes,New York Knicks,Hope,1959,11,5,76
John Barnhill ,St. Louis Hawks,Tennessee State,1959,11,6,77
Roger Wendel,Cincinnati Royals,Tulsa,1959,12,1,78
Vern Baggenstoss,Minneapolis Lakers,St. Cloud State,1959,12,2,79
Ed Blair,New York Knicks,Western Michigan,1959,12,3,80
Dwayne Smith,Minneapolis Lakers,Gustavus Adolphus,1959,13,1,81
John Nicoll,New York Knicks,Brigham Young,1959,13,2,82
Jack Israel,New York Knicks,Missouri State,1959,14,1,83
Bob Ferry ,St. Louis Hawks,Saint Louis,1959,0,0,0
Wilt Chamberlain ,Philadelphia Warriors,Kansas,1959,0,0,0
Elgin Baylor ,Minneapolis Lakers,Seattle,1958,1,1,1
Archie Dees ,Cincinnati Royals,Indiana,1958,1,2,2
Mike Farmer ,New York Knicks,San Francisco,1958,1,3,3
Pete Brennan ,New York Knicks,North Carolina,1958,1,4,4
Connie Dierking ,Syracuse Nationals,Cincinnati,1958,1,5,5
Dave Gambee ,St. Louis Hawks,Oregon State,1958,1,6,6
Bennie Swain ,Boston Celtics,Texas Southern,1958,1,7,7
Steve Hamilton ,Minneapolis Lakers,Morehead State,1958,2,1,8
Vern Hatton ,Cincinnati Royals,Kentucky,1958,2,2,9
Barney Cable ,Detroit Pistons,Bradley,1958,2,3,10
Joe Quigg,New York Knicks,North Carolina,1958,2,4,11
Lamar Sharrar,Philadelphia Warriors,West Virginia,1958,2,5,12
Hal Greer ,Syracuse Nationals,Marshall,1958,2,6,13
Hub Reed ,St. Louis Hawks,Oklahoma City,1958,2,7,14
Jimmy Smith,Boston Celtics,Franciscan,1958,2,8,15
Alexander Ellis ,Minneapolis Lakers,Niagara,1958,3,1,16
Arlen Bockhorn ,Cincinnati Royals,Dayton,1958,3,2,17
Roy DeWitz,Detroit Pistons,Kansas State,1958,3,3,18
John Lee,New York Knicks,Yale,1958,3,4,19
Frank Howard,Philadelphia Warriors,Ohio State,1958,3,5,20
John Nacincik,Syracuse Nationals,Maryland,1958,3,6,21
Wayne Embry ,St. Louis Hawks,Miami (FL),1958,3,7,22
Jim Cunningham,Boston Celtics,Fordham,1958,3,8,23
George Kline,Minneapolis Lakers,Minnesota,1958,4,1,24
Phil Murrell,Cincinnati Royals,Drake,1958,4,2,25
Ralph Croswaite,Detroit Pistons,Western Kentucky,1958,4,3,26
Johnny Cox ,New York Knicks,Kentucky,1958,4,4,27
Temple Tucker,Philadelphia Warriors,Rice,1958,4,5,28
Tommy Kearns ,Syracuse Nationals,North Carolina,1958,4,6,29
Julius Peques,St. Louis Hawks,Pittsburgh,1958,4,7,30
Don Flora,Boston Celtics,Washington & Lee,1958,4,8,31
Quitman Sullins,Minneapolis Lakers,Murray State,1958,5,1,32
Jim Fulmer,Cincinnati Royals,Alabama,1958,5,2,33
Hank Morano,Detroit Pistons,St. Peter's,1958,5,3,34
Don Lane,New York Knicks,Dayton,1958,5,4,35
Don Ohl ,Philadelphia Warriors,Illinois,1958,5,5,36
Fred Grim,Syracuse Nationals,Arkansas,1958,5,6,37
Rick Herrsher,St. Louis Hawks,Southern Methodist,1958,5,7,38
Gene Brown,Boston Celtics,San Francisco,1958,5,8,39
Al Inniss,Minneapolis Lakers,St. Francis Brooklyn,1958,6,1,40
Jim McClennan,Cincinnati Royals,Saint Francis (PA),1958,6,2,41
Shellie McMillon ,Detroit Pistons,Bradley,1958,6,3,42
Joe King,New York Knicks,Oklahoma,1958,6,4,43
Bucky Allen,Philadelphia Warriors,Duke,1958,6,5,44
Jack Mimitz,Syracuse Nationals,Saint Louis,1958,6,6,45
John Crawford,St. Louis Hawks,Iowa State,1958,6,7,46
Dave Keleher,Boston Celtics,Morehead State,1958,6,8,47
Jim Bond,Minneapolis Lakers,Point Loma Nazarene,1958,7,1,48
Wayne Stevens ,Cincinnati Royals,Cincinnati,1958,7,2,49
Ed Blair,Detroit Pistons,Western Michigan,1958,7,3,50
Owen Lawson,New York Knicks,Western Kentucky,1958,7,4,51
Jay Norman,Philadelphia Warriors,Temple,1958,7,5,52
Pete Tillotson,Syracuse Nationals,Michigan,1958,7,6,53
Ken Sidle,St. Louis Hawks,Ohio State,1958,7,7,54
Rudy Fenderson,Boston Celtics,Brandeis,1958,7,8,55
Ed Brinkley,Minneapolis Lakers,Clemson,1958,8,1,56
Bob Mantz,Cincinnati Royals,Lafayette,1958,8,2,57
Jack Quiggle,Detroit Pistons,Michigan State,1958,8,3,58
Milt Kane,New York Knicks,Utah,1958,8,4,59
Tom Brennan,Philadelphia Warriors,Villanova,1958,8,5,60
Ruel Tucker,Syracuse Nationals,Rockhurst,1958,8,6,61
Bruno Boin,St. Louis Hawks,Washington,1958,8,7,62
Joe Hobbs,Minneapolis Lakers,Florida,1958,9,1,63
Larry Staverman ,Cincinnati Royals,Thomas More,1958,9,2,64
Harry Marske,Detroit Pistons,North Dakota State,1958,9,3,65
John McCarthy,New York Knicks,Notre Dame,1958,9,4,66
Nick Davis,Philadelphia Warriors,Maryland,1958,9,5,67
Tink Van Patton,St. Louis Hawks,Temple,1958,9,6,68
Shorty Patterson,Minneapolis Lakers,Gustavus Adolphus,1958,10,1,69
Jack Parr ,Cincinnati Royals,Kansas State,1958,10,2,70
Pete Gaudin,Detroit Pistons,Loyola (LA),1958,10,3,71
Larry Hedden,Philadelphia Warriors,Michigan State,1958,10,4,72
James Purcell,St. Louis Hawks,Coe,1958,10,5,73
Hal Duffy,Minneapolis Lakers,Oregon,1958,11,1,74
Frank Tartaton,Cincinnati Royals,Xavier,1958,11,2,75
Herb Merritt,Detroit Pistons,Tennessee Tech,1958,11,3,76
Don Klein,St. Louis Hawks,Rockhurst,1958,11,4,77
Gary Simmons,Minneapolis Lakers,Idaho,1958,12,1,78
Don Medsker,Cincinnati Royals,Iowa State,1958,12,2,79
Jim Dew,Detroit Pistons,Alabama State,1958,12,3,80
Joe Buckhalter ,St. Louis Hawks,Tennessee State,1958,12,4,81
Jerry Alcom,Minneapolis Lakers,Fresno State,1958,13,1,82
Jerry DuPont,Cincinnati Royals,Louisville,1958,13,2,83
Jim Newcomb,Cincinnati Royals,Duke,1958,14,1,84
Adrian Smith ,Cincinnati Royals,Kentucky,1958,15,1,85
Jack McCarthy,Cincinnati Royals,Dayton,1958,16,1,86
John Powell,Cincinnati Royals,Miami (FL),1958,17,1,87
Guy Rodgers ,Philadelphia Warriors,Temple,1958,0,0,0
Rod Hundley ,Cincinnati Royals,West Virginia,1957,1,1,1
Charlie Tyra ,Detroit Pistons,Louisville,1957,1,2,2
Jim Krebs ,Minneapolis Lakers,Southern Methodist,1957,1,3,3
Win Wilfong ,St. Louis Hawks,Memphis,1957,1,4,4
Brendan McCann ,New York Knicks,St. Bonaventure,1957,1,5,5
Lennie Rosenbluth ,Philadelphia Warriors,North Carolina,1957,1,6,6
George H. Bon Salle ,Syracuse Nationals,Illinois,1957,1,7,7
Sam Jones ,Boston Celtics,North Carolina Central,1957,1,8,8
Dick Duckett ,Cincinnati Royals,St. John's (NY),1957,2,1,9
Bob McCoy,Detroit Pistons,Grambling,1957,2,2,10
Harvey Schmidt,Minneapolis Lakers,Illinois,1957,2,3,11
Jim Palmer ,St. Louis Hawks,Dayton,1957,2,4,12
Larry Friend ,New York Knicks,California,1957,2,5,13
Jack Sullivan,Philadelphia Warriors,Mount St. Mary's,1957,2,6,14
Jim Morgan,Syracuse Nationals,Louisville,1957,2,7,15
Dick O'Neal,Boston Celtics,Texas Christian,1957,2,8,16
Jerry Paulson ,Cincinnati Royals,Manhattan,1957,3,1,17
Bill Ebben ,Detroit Pistons,Detroit Mercy,1957,3,2,18
Jim Spivey,Minneapolis Lakers,Southeastern Oklahoma State,1957,3,3,19
John Smyth,St. Louis Hawks,Notre Dame,1957,3,4,20
Gary Clark,New York Knicks,Syracuse,1957,3,5,21
Angelo Lombardo,Philadelphia Warriors,Manhattan,1957,3,6,22
Vince Cohen,Syracuse Nationals,Syracuse,1957,3,7,23
Chuck Schramm,Boston Celtics,Western Illinois,1957,3,8,24
Jed Dormeyer,Cincinnati Royals,Minnesota,1957,4,1,25
Kurt Englebert,Detroit Pistons,Saint Joseph's,1957,4,2,26
George Brown ,Minneapolis Lakers,Wayne State (MI),1957,4,3,27
Hank Nowak,St. Louis Hawks,Canisius,1957,4,4,28
Rayford Wells,New York Knicks,Lenoir-Rhyne,1957,4,5,29
Ray Radziszewski ,Philadelphia Warriors,Saint Joseph's,1957,4,6,30
Jerry Mallett,Syracuse Nationals,Baylor,1957,4,7,31
Jim Ashmore,Boston Celtics,Mississippi State,1957,4,8,32
Stewart Murray,Cincinnati Royals,Lafayette,1957,5,1,33
Ron Kramer,Detroit Pistons,Michigan,1957,5,2,34
Gary Thompson,Minneapolis Lakers,Iowa State,1957,5,3,35
Al Rochelle,St. Louis Hawks,Vanderbilt,1957,5,4,36
Lee Marshall,New York Knicks,Washington & Lee,1957,5,5,37
Jim Radcliffe,Philadelphia Warriors,Lafayette,1957,5,6,38
Frank Nimmo,Syracuse Nationals,Cincinnati,1957,5,7,39
Grady Wallace,Boston Celtics,South Carolina,1957,5,8,40
John Maglio,Cincinnati Royals,North Carolina State,1957,6,1,41
Walt Acamushko,Detroit Pistons,St. Francis Brooklyn,1957,6,2,42
Phil Murrell,Minneapolis Lakers,Drake,1957,6,3,43
Raymond Downs,St. Louis Hawks,Texas,1957,6,4,44
Jim Humphreys,New York Knicks,Saint Michael's,1957,6,5,45
Alonzo Lewis,Philadelphia Warriors,La Salle,1957,6,6,46
Lyndon Lee,Syracuse Nationals,Oklahoma City,1957,6,7,47
Maury King ,Boston Celtics,Kansas,1957,6,8,48
Chet Forte,Cincinnati Royals,Columbia,1957,7,1,49
Carl Boldt,Detroit Pistons,San Francisco,1957,7,2,50
George Ferguson,Minneapolis Lakers,Michigan,1957,7,3,51
Mason Pope,St. Louis Hawks,Kentucky Wesleyan,1957,7,4,52
Max Jameson,Philadelphia Warriors,Kentucky State,1957,7,5,53
Dick Gaines,Syracuse Nationals,Seton Hall,1957,7,6,54
Dick Brott,Boston Celtics,Denver,1957,7,7,55
Bob Daniels,Cincinnati Royals,Western Kentucky,1957,8,1,56
Doug Bolstorff ,Detroit Pistons,Minnesota,1957,8,2,57
John Haaven,Minneapolis Lakers,North Dakota,1957,8,3,58
Bill Darragh,St. Louis Hawks,Louisville,1957,8,4,59
Woody Sauldsberry ,Philadelphia Warriors,Texas Southern,1957,8,5,60
Cebe Price,Syracuse Nationals,Marshall,1957,8,6,61
Bill Von Weyhe,Boston Celtics,Rhode Island,1957,8,7,62
Dick Heise,Cincinnati Royals,DePaul,1957,9,1,63
Bob Lazor,Detroit Pistons,Pittsburgh,1957,9,2,64
Jim Sutton,Minneapolis Lakers,North Dakota State,1957,9,3,65
Calvin Grosscup,St. Louis Hawks,Tulane,1957,9,4,66
Steve Hamilton ,Philadelphia Warriors,Morehead State,1957,9,5,67
